,combination,count,freq,iteration
251,ant-strong_mut-weak,3,0.125,9965
252,ant-weak_mut-absent,3,0.125,9965
253,ant-weak_mut-weak,2,0.083333333,9965
254,ant-absent_mut-absent,3,0.125,9964
255,ant-absent_mut-weak,2,0.083333333,9964
256,ant-strong_mut-absent,9,0.375,9964
257,ant-strong_mut-strong,1,0.041666667,9964
258,ant-strong_mut-weak,4,0.166666667,9964
259,ant-weak_mut-absent,4,0.166666667,9964
260,ant-weak_mut-strong,1,0.041666667,9964
261,ant-absent_mut-absent,3,0.125,9963
262,ant-absent_mut-strong,1,0.041666667,9963
263,ant-strong_mut-absent,12,0.5,9963
264,ant-strong_mut-strong,1,0.041666667,9963
265,ant-strong_mut-weak,4,0.166666667,9963
266,ant-weak_mut-absent,2,0.083333333,9963
267,ant-weak_mut-weak,1,0.041666667,9963
268,ant-absent_mut-absent,1,0.041666667,9962
269,ant-absent_mut-weak,1,0.041666667,9962
270,ant-strong_mut-absent,10,0.416666667,9962
271,ant-strong_mut-strong,2,0.083333333,9962
272,ant-strong_mut-weak,2,0.083333333,9962
273,ant-weak_mut-absent,6,0.25,9962
274,ant-weak_mut-weak,2,0.083333333,9962
275,ant-absent_mut-absent,4,0.166666667,9961
276,ant-strong_mut-absent,11,0.458333333,9961
277,ant-strong_mut-strong,1,0.041666667,9961
278,ant-strong_mut-weak,2,0.083333333,9961
279,ant-weak_mut-absent,3,0.125,9961
280,ant-weak_mut-strong,1,0.041666667,9961
281,ant-weak_mut-weak,2,0.083333333,9961
282,ant-absent_mut-absent,2,0.083333333,9960
283,ant-absent_mut-strong,1,0.041666667,9960
284,ant-absent_mut-weak,1,0.041666667,9960
285,ant-strong_mut-absent,12,0.5,9960
286,ant-strong_mut-strong,1,0.041666667,9960
287,ant-strong_mut-weak,2,0.083333333,9960
288,ant-weak_mut-absent,2,0.083333333,9960
289,ant-weak_mut-weak,3,0.125,9960
290,ant-absent_mut-absent,2,0.083333333,9959
291,ant-strong_mut-absent,12,0.5,9959
292,ant-strong_mut-strong,2,0.083333333,9959
293,ant-strong_mut-weak,2,0.083333333,9959
294,ant-weak_mut-absent,5,0.208333333,9959
295,ant-weak_mut-weak,1,0.041666667,9959
296,ant-absent_mut-absent,3,0.125,9958
297,ant-strong_mut-absent,9,0.375,9958
298,ant-strong_mut-strong,1,0.041666667,9958
299,ant-strong_mut-weak,6,0.25,9958
300,ant-weak_mut-absent,4,0.166666667,9958
301,ant-weak_mut-strong,1,0.041666667,9958
302,ant-absent_mut-absent,2,0.083333333,9957
303,ant-absent_mut-weak,2,0.083333333,9957
304,ant-strong_mut-absent,7,0.291666667,9957
305,ant-strong_mut-strong,2,0.083333333,9957
306,ant-strong_mut-weak,4,0.166666667,9957
307,ant-weak_mut-absent,7,0.291666667,9957
308,ant-absent_mut-absent,5,0.208333333,9956
309,ant-strong_mut-absent,8,0.333333333,9956
310,ant-strong_mut-strong,1,0.041666667,9956
311,ant-strong_mut-weak,3,0.125,9956
312,ant-weak_mut-absent,5,0.208333333,9956
313,ant-weak_mut-strong,1,0.041666667,9956
314,ant-weak_mut-weak,1,0.041666667,9956
315,ant-absent_mut-absent,2,0.083333333,9955
316,ant-absent_mut-weak,1,0.041666667,9955
317,ant-strong_mut-absent,12,0.5,9955
318,ant-strong_mut-strong,1,0.041666667,9955
319,ant-strong_mut-weak,2,0.083333333,9955
320,ant-weak_mut-absent,3,0.125,9955
321,ant-weak_mut-strong,1,0.041666667,9955
322,ant-weak_mut-weak,2,0.083333333,9955
323,ant-absent_mut-absent,3,0.125,9954
324,ant-strong_mut-absent,11,0.458333333,9954
325,ant-strong_mut-strong,1,0.041666667,9954
326,ant-strong_mut-weak,5,0.208333333,9954
327,ant-weak_mut-absent,2,0.083333333,9954
328,ant-weak_mut-strong,1,0.041666667,9954
329,ant-weak_mut-weak,1,0.041666667,9954
330,ant-absent_mut-absent,4,0.166666667,9953
331,ant-absent_mut-weak,1,0.041666667,9953
332,ant-strong_mut-absent,10,0.416666667,9953
333,ant-strong_mut-strong,2,0.083333333,9953
334,ant-strong_mut-weak,2,0.083333333,9953
335,ant-weak_mut-absent,3,0.125,9953
336,ant-weak_mut-weak,2,0.083333333,9953
337,ant-absent_mut-absent,2,0.083333333,9952
338,ant-absent_mut-weak,1,0.041666667,9952
339,ant-strong_mut-absent,11,0.458333333,9952
340,ant-strong_mut-strong,2,0.083333333,9952
341,ant-strong_mut-weak,2,0.083333333,9952
342,ant-weak_mut-absent,4,0.166666667,9952
343,ant-weak_mut-weak,2,0.083333333,9952
344,ant-absent_mut-absent,3,0.125,9951
345,ant-strong_mut-absent,8,0.333333333,9951
346,ant-strong_mut-strong,2,0.083333333,9951
347,ant-strong_mut-weak,3,0.125,9951
348,ant-weak_mut-absent,7,0.291666667,9951
349,ant-weak_mut-weak,1,0.041666667,9951
350,ant-absent_mut-absent,3,0.125,9950
351,ant-strong_mut-absent,8,0.333333333,9950
352,ant-strong_mut-strong,1,0.041666667,9950
353,ant-strong_mut-weak,6,0.25,9950
354,ant-weak_mut-absent,5,0.208333333,9950
355,ant-weak_mut-strong,1,0.041666667,9950
356,ant-absent_mut-absent,1,0.041666667,9949
357,ant-absent_mut-strong,1,0.041666667,9949
358,ant-absent_mut-weak,2,0.083333333,9949
359,ant-strong_mut-absent,10,0.416666667,9949
360,ant-strong_mut-strong,1,0.041666667,9949
361,ant-strong_mut-weak,3,0.125,9949
362,ant-weak_mut-absent,6,0.25,9949
363,ant-absent_mut-absent,3,0.125,9948
364,ant-absent_mut-weak,2,0.083333333,9948
365,ant-strong_mut-absent,10,0.416666667,9948
366,ant-strong_mut-strong,1,0.041666667,9948
367,ant-strong_mut-weak,2,0.083333333,9948
368,ant-weak_mut-absent,4,0.166666667,9948
369,ant-weak_mut-strong,1,0.041666667,9948
370,ant-weak_mut-weak,1,0.041666667,9948
371,ant-absent_mut-absent,2,0.083333333,9947
372,ant-strong_mut-absent,10,0.416666667,9947
373,ant-strong_mut-strong,2,0.083333333,9947
374,ant-strong_mut-weak,2,0.083333333,9947
375,ant-weak_mut-absent,5,0.208333333,9947
376,ant-weak_mut-weak,3,0.125,9947
377,ant-absent_mut-absent,2,0.083333333,9946
378,ant-absent_mut-weak,2,0.083333333,9946
379,ant-strong_mut-absent,12,0.5,9946
380,ant-strong_mut-strong,1,0.041666667,9946
381,ant-strong_mut-weak,2,0.083333333,9946
382,ant-weak_mut-absent,3,0.125,9946
383,ant-weak_mut-strong,1,0.041666667,9946
384,ant-weak_mut-weak,1,0.041666667,9946
385,ant-absent_mut-absent,2,0.083333333,9945
386,ant-absent_mut-weak,1,0.041666667,9945
387,ant-strong_mut-absent,7,0.291666667,9945
388,ant-strong_mut-strong,2,0.083333333,9945
389,ant-strong_mut-weak,4,0.166666667,9945
390,ant-weak_mut-absent,7,0.291666667,9945
391,ant-weak_mut-weak,1,0.041666667,9945
392,ant-absent_mut-absent,3,0.125,9944
393,ant-absent_mut-weak,1,0.041666667,9944
394,ant-strong_mut-absent,8,0.333333333,9944
395,ant-strong_mut-strong,1,0.041666667,9944
396,ant-strong_mut-weak,3,0.125,9944
397,ant-weak_mut-absent,5,0.208333333,9944
398,ant-weak_mut-strong,1,0.041666667,9944
399,ant-weak_mut-weak,2,0.083333333,9944
400,ant-absent_mut-absent,2,0.083333333,9943
401,ant-absent_mut-weak,1,0.041666667,9943
402,ant-strong_mut-absent,12,0.5,9943
403,ant-strong_mut-strong,1,0.041666667,9943
404,ant-strong_mut-weak,3,0.125,9943
405,ant-weak_mut-absent,3,0.125,9943
406,ant-weak_mut-strong,1,0.041666667,9943
407,ant-weak_mut-weak,1,0.041666667,9943
408,ant-absent_mut-absent,3,0.125,9942
409,ant-absent_mut-weak,1,0.041666667,9942
410,ant-strong_mut-absent,8,0.333333333,9942
411,ant-strong_mut-strong,2,0.083333333,9942
412,ant-strong_mut-weak,4,0.166666667,9942
413,ant-weak_mut-absent,6,0.25,9942
414,ant-absent_mut-absent,4,0.166666667,9941
415,ant-absent_mut-weak,1,0.041666667,9941
416,ant-strong_mut-absent,9,0.375,9941
417,ant-strong_mut-strong,2,0.083333333,9941
418,ant-strong_mut-weak,3,0.125,9941
419,ant-weak_mut-absent,5,0.208333333,9941
420,ant-absent_mut-absent,2,0.083333333,9940
421,ant-absent_mut-strong,1,0.041666667,9940
422,ant-absent_mut-weak,1,0.041666667,9940
423,ant-strong_mut-absent,13,0.541666667,9940
424,ant-strong_mut-strong,1,0.041666667,9940
425,ant-strong_mut-weak,2,0.083333333,9940
426,ant-weak_mut-absent,1,0.041666667,9940
427,ant-weak_mut-weak,3,0.125,9940
428,ant-absent_mut-absent,2,0.083333333,9939
429,ant-absent_mut-weak,1,0.041666667,9939
430,ant-strong_mut-absent,8,0.333333333,9939
431,ant-strong_mut-strong,1,0.041666667,9939
432,ant-strong_mut-weak,4,0.166666667,9939
433,ant-weak_mut-absent,7,0.291666667,9939
434,ant-weak_mut-strong,1,0.041666667,9939
435,ant-absent_mut-absent,3,0.125,9938
436,ant-absent_mut-weak,1,0.041666667,9938
437,ant-strong_mut-absent,10,0.416666667,9938
438,ant-strong_mut-strong,1,0.041666667,9938
439,ant-strong_mut-weak,3,0.125,9938
440,ant-weak_mut-absent,4,0.166666667,9938
441,ant-weak_mut-strong,1,0.041666667,9938
442,ant-weak_mut-weak,1,0.041666667,9938
443,ant-absent_mut-absent,1,0.041666667,9937
444,ant-absent_mut-strong,1,0.041666667,9937
445,ant-absent_mut-weak,2,0.083333333,9937
446,ant-strong_mut-absent,8,0.333333333,9937
447,ant-strong_mut-strong,1,0.041666667,9937
448,ant-strong_mut-weak,4,0.166666667,9937
449,ant-weak_mut-absent,7,0.291666667,9937
450,ant-absent_mut-absent,1,0.041666667,9936
451,ant-absent_mut-weak,1,0.041666667,9936
452,ant-strong_mut-absent,12,0.5,9936
453,ant-strong_mut-strong,1,0.041666667,9936
454,ant-strong_mut-weak,2,0.083333333,9936
455,ant-weak_mut-absent,4,0.166666667,9936
456,ant-weak_mut-strong,1,0.041666667,9936
457,ant-weak_mut-weak,2,0.083333333,9936
458,ant-absent_mut-absent,3,0.125,9935
459,ant-absent_mut-strong,1,0.041666667,9935
460,ant-strong_mut-absent,12,0.5,9935
461,ant-strong_mut-weak,2,0.083333333,9935
462,ant-weak_mut-absent,2,0.083333333,9935
463,ant-weak_mut-strong,1,0.041666667,9935
464,ant-weak_mut-weak,3,0.125,9935
465,ant-absent_mut-absent,2,0.083333333,9934
466,ant-absent_mut-weak,1,0.041666667,9934
467,ant-strong_mut-absent,10,0.416666667,9934
468,ant-strong_mut-strong,1,0.041666667,9934
469,ant-strong_mut-weak,4,0.166666667,9934
470,ant-weak_mut-absent,5,0.208333333,9934
471,ant-weak_mut-strong,1,0.041666667,9934
472,ant-absent_mut-absent,1,0.041666667,9933
473,ant-absent_mut-weak,1,0.041666667,9933
474,ant-strong_mut-absent,9,0.375,9933
475,ant-strong_mut-strong,1,0.041666667,9933
476,ant-strong_mut-weak,3,0.125,9933
477,ant-weak_mut-absent,6,0.25,9933
478,ant-weak_mut-strong,1,0.041666667,9933
479,ant-weak_mut-weak,2,0.083333333,9933
480,ant-absent_mut-absent,2,0.083333333,9932
481,ant-strong_mut-absent,9,0.375,9932
482,ant-strong_mut-strong,2,0.083333333,9932
483,ant-strong_mut-weak,3,0.125,9932
484,ant-weak_mut-absent,7,0.291666667,9932
485,ant-weak_mut-weak,1,0.041666667,9932
486,ant-absent_mut-absent,4,0.166666667,9931
487,ant-strong_mut-absent,9,0.375,9931
488,ant-strong_mut-strong,2,0.083333333,9931
489,ant-strong_mut-weak,2,0.083333333,9931
490,ant-weak_mut-absent,4,0.166666667,9931
491,ant-weak_mut-weak,3,0.125,9931
492,ant-absent_mut-absent,2,0.083333333,9930
493,ant-absent_mut-strong,1,0.041666667,9930
494,ant-strong_mut-absent,10,0.416666667,9930
495,ant-strong_mut-weak,3,0.125,9930
496,ant-weak_mut-absent,5,0.208333333,9930
497,ant-weak_mut-strong,1,0.041666667,9930
498,ant-weak_mut-weak,2,0.083333333,9930
499,ant-absent_mut-absent,4,0.166666667,9929
500,ant-absent_mut-weak,1,0.041666667,9929
501,ant-strong_mut-absent,11,0.458333333,9929
502,ant-strong_mut-strong,2,0.083333333,9929
503,ant-strong_mut-weak,3,0.125,9929
504,ant-weak_mut-absent,2,0.083333333,9929
505,ant-weak_mut-weak,1,0.041666667,9929
506,ant-absent_mut-absent,3,0.125,9928
507,ant-absent_mut-weak,2,0.083333333,9928
508,ant-strong_mut-absent,12,0.5,9928
509,ant-strong_mut-strong,1,0.041666667,9928
510,ant-strong_mut-weak,2,0.083333333,9928
511,ant-weak_mut-absent,2,0.083333333,9928
