no,plant,deer,wildboar,rabbit,rat,fox,badger,deer_i,wildboar_i,rabbit_i,rat_i,fox_i,badger_i,antagonist,poor_mutual,mutualist,antagonist_i,poor_mutual_i,mutualist_i,Motifs,pop,x,y,del_area,nn,dens
42,EM291H,0,0.028,1.125,0.056,0,0,Absent,Weak,Strong,Weak,Absent,Absent,0.028,1.181,0,Weak,Strong,Absent,weak_mutual_weak_anta,Matasgordas,193819.5392,4113420.419,573.033288,14.60701922,7
43,EM293,0,0,0,0.09,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.09,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193835.3521,4113462.872,1297.582285,18.7983108,2
44,EM297H,0,0,0.458,0,0,0,Absent,Absent,Strong,Absent,Absent,Absent,0,0.458,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193862.8317,4113437.124,1960.413415,27.55096425,1
45,EM298H,0.083,0,0.417,0.313,0.014,0,Weak,Absent,Strong,Strong,Weak,Absent,0.083,0.73,0.014,Weak,Strong,Weak,weak_mutual_weak_anta,Matasgordas,193839.5045,4113357.877,1774.900097,6.856570762,2
46,EM300H,0,0,0.028,0.389,0,0,Absent,Absent,Weak,Strong,Absent,Absent,0,0.417,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193904.4553,4113367.218,3033.539044,40.85874181,1
47,ER002H,0,0.007,0,0,0,0,Absent,Weak,Absent,Absent,Absent,Absent,0.007,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193935.2917,4103036.705,735.91497,14.39071036,3
48,ER007H,0.083,0.028,0.028,0,0,0,Weak,Weak,Weak,Absent,Absent,Absent,0.111,0.028,0,Weak,Weak,Absent,weak_mutual_weak_anta,Martinazo,193948.9277,4103023.05,1383.900122,19.29753843,1
49,ER028H,0.118,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.118,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194054.8538,4103053.822,110.724296,6.158845502,7
50,ER033H,0.229,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.229,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193976.4357,4103066.046,3103.934244,17.67858938,2
51,ER036H,8.167,0.042,0,0,0,0.069,Strong,Weak,Absent,Absent,Absent,Weak,8.209,0,0.069,Strong,Absent,Weak,weak_mutual_strong_anta,Martinazo,194117.1799,4103055.547,1035.222731,24.49099033,1
52,ER037H,0,0.153,0,0,0,0,Absent,Strong,Absent,Absent,Absent,Absent,0.153,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194069.7517,4103086.384,1140.228311,14.690368,2
53,ER044H,0.083,0.173,0,0,0,0,Weak,Strong,Absent,Absent,Absent,Absent,0.256,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194071.6961,4103143.076,1177.873899,22.73794043,1
54,ER045H,0.694,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.694,0,0,Strong,Absent,Absent,strong_anta,Martinazo,194117.3597,4103157.114,2320.666868,47.77264979,1
55,ER047H,0.056,0.097,0,0,0,0,Weak,Weak,Absent,Absent,Absent,Absent,0.153,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194042.6843,4103175.108,320.430982,14.8900534,4
56,ER050H,0.028,0.055,0,0,0,0,Weak,Weak,Absent,Absent,Absent,Absent,0.083,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194009.7265,4103188.685,1545.429563,4.721361833,4
57,ER052X,0.188,0.73,0.07,0,0,0,Strong,Strong,Weak,Absent,Absent,Absent,0.918,0.07,0,Strong,Weak,Absent,weak_mutual_strong_anta,Martinazo,194024.8958,4103183.056,186.964433,11.87038507,6
58,ER053H,0.062,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.062,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194033.6756,4103191.045,349.337478,0.01,4
59,ER061H,0,0,0,0,0,0.014,Absent,Absent,Absent,Absent,Absent,Weak,0,0,0.014,Absent,Absent,Weak,weak_mutual,Martinazo,194057.4104,4103315.202,703.494105,15.37408002,2
60,ER067H,1.542,0,0,0,0,0.354,Strong,Absent,Absent,Absent,Absent,Strong,1.542,0,0.354,Strong,Absent,Strong,strong_mutual_strong_anta,Martinazo,193621.7608,4103123.279,944.031778,48.40392186,1
61,ER070H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Martinazo,193807.4582,4103306.386,7132.956988,45.26068993,1
62,ER071M-H,0.237,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.237,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193691.8201,4103244.69,1683.439321,10.63476498,2
63,ER072H,0.777,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.777,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193696.2319,4103254.367,92.48376,10.63476498,3
64,ER073H,7.358,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,7.358,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193708.4856,4103253.082,175.398824,10.55982454,4
65,ER074M-H,4.518,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,4.518,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193712.0186,4103266.04,102.209692,6.560412211,3
66,ER079H,0,0,0,0,0,0.181,Absent,Absent,Absent,Absent,Absent,Strong,0,0,0.181,Absent,Absent,Weak,weak_mutual,Martinazo,193739.5693,4103191.951,17.356475,1.41768778,3
67,ER080H,0.382,0.73,0.167,0.201,0,0,Strong,Strong,Strong,Strong,Absent,Absent,1.112,0.368,0,Strong,Strong,Absent,weak_mutual_strong_anta,Martinazo,193740.1962,4103195.654,1394.462026,3.755776764,3
68,ER085H,1.251,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,1.251,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193904.6243,4103236.117,6055.65415,25.10206629,1
69,ER086H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Martinazo,193918.8692,4103215.448,3171.468772,25.10206629,1
70,ER090H,0.063,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.063,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193680.5123,4103140.535,5890.579029,34.04919626,1
